model.id,biobase.id,mDataType
f64.PHLC12.TPX.control.P703,PHLC12,RNASeq
f64.PHLC12.TPX.control.P703,PHLC12,CNV
f64.PHLC12.TPX.control.P703,PHLC12,mutation
f64.PHLC12.TPX.control.P701,PHLC12,RNASeq
f64.PHLC12.TPX.control.P701,PHLC12,CNV
f64.PHLC12.TPX.control.P701,PHLC12,mutation
f64.PHLC12.TPX.control.P702,PHLC12,RNASeq
f64.PHLC12.TPX.control.P702,PHLC12,CNV
f64.PHLC12.TPX.control.P702,PHLC12,mutation
f64.PHLC12.TPX.control.P709,PHLC12,RNASeq
f64.PHLC12.TPX.control.P709,PHLC12,CNV
f64.PHLC12.TPX.control.P709,PHLC12,mutation
f64.PHLC12.TPX.control.P710,PHLC12,RNASeq
f64.PHLC12.TPX.control.P710,PHLC12,CNV
f64.PHLC12.TPX.control.P710,PHLC12,mutation
f64.PHLC12.TPX.control.P708,PHLC12,RNASeq
f64.PHLC12.TPX.control.P708,PHLC12,CNV
f64.PHLC12.TPX.control.P708,PHLC12,mutation
f64.PHLC12.TPX.control.P707,PHLC12,RNASeq
f64.PHLC12.TPX.control.P707,PHLC12,CNV
f64.PHLC12.TPX.control.P707,PHLC12,mutation
f65.PHLC12.TPX.gefitinib.P707,PHLC12,RNASeq
f65.PHLC12.TPX.gefitinib.P707,PHLC12,CNV
f65.PHLC12.TPX.gefitinib.P707,PHLC12,mutation
f65.PHLC12.TPX.control.P706,PHLC12,RNASeq
f65.PHLC12.TPX.control.P706,PHLC12,CNV
f65.PHLC12.TPX.control.P706,PHLC12,mutation
f65.PHLC12.TPX.gefitinib.P705,PHLC12,RNASeq
f65.PHLC12.TPX.gefitinib.P705,PHLC12,CNV
f65.PHLC12.TPX.gefitinib.P705,PHLC12,mutation
f68.PHLC12.TPX.erlotinib.P803,PHLC12,RNASeq
f68.PHLC12.TPX.erlotinib.P803,PHLC12,CNV
f68.PHLC12.TPX.erlotinib.P803,PHLC12,mutation
f68.PHLC12.TPX.control.P802,PHLC12,RNASeq
f68.PHLC12.TPX.control.P802,PHLC12,CNV
f68.PHLC12.TPX.control.P802,PHLC12,mutation
f68.PHLC12.TPX.erlotinib.P804,PHLC12,RNASeq
f68.PHLC12.TPX.erlotinib.P804,PHLC12,CNV
f68.PHLC12.TPX.erlotinib.P804,PHLC12,mutation
f68.PHLC12.TPX.erlotinib.P801,PHLC12,RNASeq
f68.PHLC12.TPX.erlotinib.P801,PHLC12,CNV
f68.PHLC12.TPX.erlotinib.P801,PHLC12,mutation
f66.PHLC12.TPX.control.P1105,PHLC12,RNASeq
f66.PHLC12.TPX.control.P1105,PHLC12,CNV
f66.PHLC12.TPX.control.P1105,PHLC12,mutation
f66.PHLC12.TPX.control.P1104,PHLC12,RNASeq
f66.PHLC12.TPX.control.P1104,PHLC12,CNV
f66.PHLC12.TPX.control.P1104,PHLC12,mutation
f68.PHLC12.TPX.erlotinib.P805,PHLC12,RNASeq
f68.PHLC12.TPX.erlotinib.P805,PHLC12,CNV
f68.PHLC12.TPX.erlotinib.P805,PHLC12,mutation
f68.PHLC12.TPX.control.P808,PHLC12,RNASeq
f68.PHLC12.TPX.control.P808,PHLC12,CNV
f68.PHLC12.TPX.control.P808,PHLC12,mutation
f68.PHLC12.TPX.erlotinib.P807,PHLC12,RNASeq
f68.PHLC12.TPX.erlotinib.P807,PHLC12,CNV
f68.PHLC12.TPX.erlotinib.P807,PHLC12,mutation
f68.PHLC12.TPX.control.P806,PHLC12,RNASeq
f68.PHLC12.TPX.control.P806,PHLC12,CNV
f68.PHLC12.TPX.control.P806,PHLC12,mutation
f66.PHLC12.TPX.control.P1103,PHLC12,RNASeq
f66.PHLC12.TPX.control.P1103,PHLC12,CNV
f66.PHLC12.TPX.control.P1103,PHLC12,mutation
f65.PHLC12.TPX.gefitinib.P709,PHLC12,RNASeq
f65.PHLC12.TPX.gefitinib.P709,PHLC12,CNV
f65.PHLC12.TPX.gefitinib.P709,PHLC12,mutation
f65.PHLC12.TPX.control.P710,PHLC12,RNASeq
f65.PHLC12.TPX.control.P710,PHLC12,CNV
f65.PHLC12.TPX.control.P710,PHLC12,mutation
f65.PHLC12.TPX.control.P712,PHLC12,RNASeq
f65.PHLC12.TPX.control.P712,PHLC12,CNV
f65.PHLC12.TPX.control.P712,PHLC12,mutation
f66.PHLC12.TPX.control.P1101,PHLC12,RNASeq
f66.PHLC12.TPX.control.P1101,PHLC12,CNV
f66.PHLC12.TPX.control.P1101,PHLC12,mutation
f66.PHLC12.TPX.control.P1102,PHLC12,RNASeq
f66.PHLC12.TPX.control.P1102,PHLC12,CNV
f66.PHLC12.TPX.control.P1102,PHLC12,mutation
f65.PHLC12.TPX.gefitinib.P711,PHLC12,RNASeq
f65.PHLC12.TPX.gefitinib.P711,PHLC12,CNV
f65.PHLC12.TPX.gefitinib.P711,PHLC12,mutation
f74.PHLC77.TPX.dacomitinib.P810,PHLC77,RNASeq
f74.PHLC77.TPX.dacomitinib.P810,PHLC77,CNV
f74.PHLC77.TPX.dacomitinib.P810,PHLC77,mutation
f74.PHLC77.TPX.afatinib.P824,PHLC77,RNASeq
f74.PHLC77.TPX.afatinib.P824,PHLC77,CNV
f74.PHLC77.TPX.afatinib.P824,PHLC77,mutation
f74.PHLC77.TPX.control.P823,PHLC77,RNASeq
f74.PHLC77.TPX.control.P823,PHLC77,CNV
f74.PHLC77.TPX.control.P823,PHLC77,mutation
f74.PHLC77.TPX.dacomitinib.P821,PHLC77,RNASeq
f74.PHLC77.TPX.dacomitinib.P821,PHLC77,CNV
f74.PHLC77.TPX.dacomitinib.P821,PHLC77,mutation
f74.PHLC77.TPX.control.P822,PHLC77,RNASeq
f74.PHLC77.TPX.control.P822,PHLC77,CNV
f74.PHLC77.TPX.control.P822,PHLC77,mutation
f74.PHLC77.TPX.afatinib.P825,PHLC77,RNASeq
f74.PHLC77.TPX.afatinib.P825,PHLC77,CNV
f74.PHLC77.TPX.afatinib.P825,PHLC77,mutation
f75.PHLC77.TPX.afatinib.P901,PHLC77,RNASeq
f75.PHLC77.TPX.afatinib.P901,PHLC77,CNV
f75.PHLC77.TPX.afatinib.P901,PHLC77,mutation
f74.PHLC77.TPX.afatinib.P816,PHLC77,RNASeq
f74.PHLC77.TPX.afatinib.P816,PHLC77,CNV
f74.PHLC77.TPX.afatinib.P816,PHLC77,mutation
f74.PHLC77.TPX.afatinib.P817,PHLC77,RNASeq
f74.PHLC77.TPX.afatinib.P817,PHLC77,CNV
f74.PHLC77.TPX.afatinib.P817,PHLC77,mutation
f74.PHLC77.TPX.dacomitinib.P815,PHLC77,RNASeq
f74.PHLC77.TPX.dacomitinib.P815,PHLC77,CNV
f74.PHLC77.TPX.dacomitinib.P815,PHLC77,mutation
f74.PHLC77.TPX.cisplatin+vinorelbine.P819,PHLC77,RNASeq
f74.PHLC77.TPX.cisplatin+vinorelbine.P819,PHLC77,CNV
f74.PHLC77.TPX.cisplatin+vinorelbine.P819,PHLC77,mutation
f74.PHLC77.TPX.cisplatin+vinorelbine.P818,PHLC77,RNASeq
f74.PHLC77.TPX.cisplatin+vinorelbine.P818,PHLC77,CNV
f74.PHLC77.TPX.cisplatin+vinorelbine.P818,PHLC77,mutation
f74.PHLC77.TPX.cisplatin+vinorelbine.P820,PHLC77,RNASeq
f74.PHLC77.TPX.cisplatin+vinorelbine.P820,PHLC77,CNV
f74.PHLC77.TPX.cisplatin+vinorelbine.P820,PHLC77,mutation
f83.PHLC77.TPX.BKM120.P704,PHLC77,RNASeq
f83.PHLC77.TPX.BKM120.P704,PHLC77,CNV
f83.PHLC77.TPX.BKM120.P704,PHLC77,mutation
f83.PHLC77.TPX.BKM120.P703,PHLC77,RNASeq
f83.PHLC77.TPX.BKM120.P703,PHLC77,CNV
f83.PHLC77.TPX.BKM120.P703,PHLC77,mutation
f83.PHLC77.TPX.BKM120.P707,PHLC77,RNASeq
f83.PHLC77.TPX.BKM120.P707,PHLC77,CNV
f83.PHLC77.TPX.BKM120.P707,PHLC77,mutation
f83.PHLC77.TPX.BKM120.P706,PHLC77,RNASeq
f83.PHLC77.TPX.BKM120.P706,PHLC77,CNV
f83.PHLC77.TPX.BKM120.P706,PHLC77,mutation
f83.PHLC77.TPX.control.P701,PHLC77,RNASeq
f83.PHLC77.TPX.control.P701,PHLC77,CNV
f83.PHLC77.TPX.control.P701,PHLC77,mutation
f76.PHLC77.TPX.afatinib.P1002,PHLC77,RNASeq
f76.PHLC77.TPX.afatinib.P1002,PHLC77,CNV
f76.PHLC77.TPX.afatinib.P1002,PHLC77,mutation
f83.PHLC77.TPX.BKM120.P702,PHLC77,RNASeq
f83.PHLC77.TPX.BKM120.P702,PHLC77,CNV
f83.PHLC77.TPX.BKM120.P702,PHLC77,mutation
f83.PHLC77.TPX.control.P713,PHLC77,RNASeq
f83.PHLC77.TPX.control.P713,PHLC77,CNV
f83.PHLC77.TPX.control.P713,PHLC77,mutation
f83.PHLC77.TPX.control.P712,PHLC77,RNASeq
f83.PHLC77.TPX.control.P712,PHLC77,CNV
f83.PHLC77.TPX.control.P712,PHLC77,mutation
f83.PHLC77.TPX.BKM120.P714,PHLC77,RNASeq
f83.PHLC77.TPX.BKM120.P714,PHLC77,CNV
f83.PHLC77.TPX.BKM120.P714,PHLC77,mutation
f83.PHLC77.TPX.control.P711,PHLC77,RNASeq
f83.PHLC77.TPX.control.P711,PHLC77,CNV
f83.PHLC77.TPX.control.P711,PHLC77,mutation
f83.PHLC77.TPX.control.P709,PHLC77,RNASeq
f83.PHLC77.TPX.control.P709,PHLC77,CNV
f83.PHLC77.TPX.control.P709,PHLC77,mutation
f83.PHLC77.TPX.control.P708,PHLC77,RNASeq
f83.PHLC77.TPX.control.P708,PHLC77,CNV
f83.PHLC77.TPX.control.P708,PHLC77,mutation
f75.PHLC77.TPX.afatinib.P903,PHLC77,RNASeq
f75.PHLC77.TPX.afatinib.P903,PHLC77,CNV
f75.PHLC77.TPX.afatinib.P903,PHLC77,mutation
f75.PHLC77.TPX.afatinib.P902,PHLC77,RNASeq
f75.PHLC77.TPX.afatinib.P902,PHLC77,CNV
f75.PHLC77.TPX.afatinib.P902,PHLC77,mutation
f75.PHLC77.TPX.afatinib.P904,PHLC77,RNASeq
f75.PHLC77.TPX.afatinib.P904,PHLC77,CNV
f75.PHLC77.TPX.afatinib.P904,PHLC77,mutation
f76.PHLC77.TPX.afatinib.P1001,PHLC77,RNASeq
f76.PHLC77.TPX.afatinib.P1001,PHLC77,CNV
f76.PHLC77.TPX.afatinib.P1001,PHLC77,mutation
f75.PHLC77.TPX.afatinib.P905,PHLC77,RNASeq
f75.PHLC77.TPX.afatinib.P905,PHLC77,CNV
f75.PHLC77.TPX.afatinib.P905,PHLC77,mutation
f73.PHLC77.TPX.cetuximab.P714,PHLC77,RNASeq
f73.PHLC77.TPX.cetuximab.P714,PHLC77,CNV
f73.PHLC77.TPX.cetuximab.P714,PHLC77,mutation
f73.PHLC77.TPX.cetuximab.P715,PHLC77,RNASeq
f73.PHLC77.TPX.cetuximab.P715,PHLC77,CNV
f73.PHLC77.TPX.cetuximab.P715,PHLC77,mutation
f73.PHLC77.TPX.erlotinib.P716,PHLC77,RNASeq
f73.PHLC77.TPX.erlotinib.P716,PHLC77,CNV
f73.PHLC77.TPX.erlotinib.P716,PHLC77,mutation
f73.PHLC77.TPX.erlotinib.P713,PHLC77,RNASeq
f73.PHLC77.TPX.erlotinib.P713,PHLC77,CNV
f73.PHLC77.TPX.erlotinib.P713,PHLC77,mutation
f73.PHLC77.TPX.erlotinib.P711,PHLC77,RNASeq
f73.PHLC77.TPX.erlotinib.P711,PHLC77,CNV
f73.PHLC77.TPX.erlotinib.P711,PHLC77,mutation
f73.PHLC77.TPX.cetuximab.P712,PHLC77,RNASeq
f73.PHLC77.TPX.cetuximab.P712,PHLC77,CNV
f73.PHLC77.TPX.cetuximab.P712,PHLC77,mutation
f73.PHLC77.TPX.cetuximab.P719,PHLC77,RNASeq
f73.PHLC77.TPX.cetuximab.P719,PHLC77,CNV
f73.PHLC77.TPX.cetuximab.P719,PHLC77,mutation
f73.PHLC77.TPX.erlotinib.P720,PHLC77,RNASeq
f73.PHLC77.TPX.erlotinib.P720,PHLC77,CNV
f73.PHLC77.TPX.erlotinib.P720,PHLC77,mutation
f74.PHLC77.TPX.afatinib.P801,PHLC77,RNASeq
f74.PHLC77.TPX.afatinib.P801,PHLC77,CNV
f74.PHLC77.TPX.afatinib.P801,PHLC77,mutation
f73.PHLC77.TPX.cetuximab.P718,PHLC77,RNASeq
f73.PHLC77.TPX.cetuximab.P718,PHLC77,CNV
f73.PHLC77.TPX.cetuximab.P718,PHLC77,mutation
f73.PHLC77.TPX.control.P717,PHLC77,RNASeq
f73.PHLC77.TPX.control.P717,PHLC77,CNV
f73.PHLC77.TPX.control.P717,PHLC77,mutation
f73.PHLC77.TPX.erlotinib.P704,PHLC77,RNASeq
f73.PHLC77.TPX.erlotinib.P704,PHLC77,CNV
f73.PHLC77.TPX.erlotinib.P704,PHLC77,mutation
f73.PHLC77.TPX.control.P705,PHLC77,RNASeq
f73.PHLC77.TPX.control.P705,PHLC77,CNV
f73.PHLC77.TPX.control.P705,PHLC77,mutation
f73.PHLC77.TPX.control.P706,PHLC77,RNASeq
f73.PHLC77.TPX.control.P706,PHLC77,CNV
f73.PHLC77.TPX.control.P706,PHLC77,mutation
f73.PHLC77.TPX.erlotinib.P702,PHLC77,RNASeq
f73.PHLC77.TPX.erlotinib.P702,PHLC77,CNV
f73.PHLC77.TPX.erlotinib.P702,PHLC77,mutation
f73.PHLC77.TPX.erlotinib.P703,PHLC77,RNASeq
f73.PHLC77.TPX.erlotinib.P703,PHLC77,CNV
f73.PHLC77.TPX.erlotinib.P703,PHLC77,mutation
f73.PHLC77.TPX.control.P709,PHLC77,RNASeq
f73.PHLC77.TPX.control.P709,PHLC77,CNV
f73.PHLC77.TPX.control.P709,PHLC77,mutation
f73.PHLC77.TPX.cetuximab.P710,PHLC77,RNASeq
f73.PHLC77.TPX.cetuximab.P710,PHLC77,CNV
f73.PHLC77.TPX.cetuximab.P710,PHLC77,mutation
f73.PHLC77.TPX.control.P708,PHLC77,RNASeq
f73.PHLC77.TPX.control.P708,PHLC77,CNV
f73.PHLC77.TPX.control.P708,PHLC77,mutation
f73.PHLC77.TPX.control.P707,PHLC77,RNASeq
f73.PHLC77.TPX.control.P707,PHLC77,CNV
f73.PHLC77.TPX.control.P707,PHLC77,mutation
f74.PHLC77.TPX.control.P805,PHLC77,RNASeq
f74.PHLC77.TPX.control.P805,PHLC77,CNV
f74.PHLC77.TPX.control.P805,PHLC77,mutation
f74.PHLC77.TPX.cisplatin+vinorelbine.P806,PHLC77,RNASeq
f74.PHLC77.TPX.cisplatin+vinorelbine.P806,PHLC77,CNV
f74.PHLC77.TPX.cisplatin+vinorelbine.P806,PHLC77,mutation
f74.PHLC77.TPX.afatinib.P807,PHLC77,RNASeq
f74.PHLC77.TPX.afatinib.P807,PHLC77,CNV
f74.PHLC77.TPX.afatinib.P807,PHLC77,mutation
f74.PHLC77.TPX.dacomitinib.P803,PHLC77,RNASeq
f74.PHLC77.TPX.dacomitinib.P803,PHLC77,CNV
f74.PHLC77.TPX.dacomitinib.P803,PHLC77,mutation
f74.PHLC77.TPX.control.P804,PHLC77,RNASeq
f74.PHLC77.TPX.control.P804,PHLC77,CNV
f74.PHLC77.TPX.control.P804,PHLC77,mutation
f74.PHLC77.TPX.cisplatin+vinorelbine.P808,PHLC77,RNASeq
f74.PHLC77.TPX.cisplatin+vinorelbine.P808,PHLC77,CNV
f74.PHLC77.TPX.cisplatin+vinorelbine.P808,PHLC77,mutation
f73.PHLC77.TPX.cetuximab.P701,PHLC77,RNASeq
f73.PHLC77.TPX.cetuximab.P701,PHLC77,CNV
f73.PHLC77.TPX.cetuximab.P701,PHLC77,mutation
f74.PHLC77.TPX.control.P802,PHLC77,RNASeq
f74.PHLC77.TPX.control.P802,PHLC77,CNV
f74.PHLC77.TPX.control.P802,PHLC77,mutation
f74.PHLC77.TPX.cisplatin+vinorelbine.P812,PHLC77,RNASeq
f74.PHLC77.TPX.cisplatin+vinorelbine.P812,PHLC77,CNV
f74.PHLC77.TPX.cisplatin+vinorelbine.P812,PHLC77,mutation
f74.PHLC77.TPX.control.P811,PHLC77,RNASeq
f74.PHLC77.TPX.control.P811,PHLC77,CNV
f74.PHLC77.TPX.control.P811,PHLC77,mutation
f74.PHLC77.TPX.dacomitinib.P813,PHLC77,RNASeq
f74.PHLC77.TPX.dacomitinib.P813,PHLC77,CNV
f74.PHLC77.TPX.dacomitinib.P813,PHLC77,mutation
f71.PHLC77.TPX.control.P1202,PHLC77,RNASeq
f71.PHLC77.TPX.control.P1202,PHLC77,CNV
f71.PHLC77.TPX.control.P1202,PHLC77,mutation
f71.PHLC77.TPX.erlotinib.P1203,PHLC77,RNASeq
f71.PHLC77.TPX.erlotinib.P1203,PHLC77,CNV
f71.PHLC77.TPX.erlotinib.P1203,PHLC77,mutation
f71.PHLC77.TPX.erlotinib.P1201,PHLC77,RNASeq
f71.PHLC77.TPX.erlotinib.P1201,PHLC77,CNV
f71.PHLC77.TPX.erlotinib.P1201,PHLC77,mutation
f74.PHLC77.TPX.dacomitinib.P814,PHLC77,RNASeq
f74.PHLC77.TPX.dacomitinib.P814,PHLC77,CNV
f74.PHLC77.TPX.dacomitinib.P814,PHLC77,mutation
f71.PHLC77.TPX.control.P1205,PHLC77,RNASeq
f71.PHLC77.TPX.control.P1205,PHLC77,CNV
f71.PHLC77.TPX.control.P1205,PHLC77,mutation
f72.PHLC77.TPX.erlotinib.P1102,PHLC77,RNASeq
f72.PHLC77.TPX.erlotinib.P1102,PHLC77,CNV
f72.PHLC77.TPX.erlotinib.P1102,PHLC77,mutation
f72.PHLC77.TPX.erlotinib.P1103,PHLC77,RNASeq
f72.PHLC77.TPX.erlotinib.P1103,PHLC77,CNV
f72.PHLC77.TPX.erlotinib.P1103,PHLC77,mutation
f72.PHLC77.TPX.erlotinib.P1104,PHLC77,RNASeq
f72.PHLC77.TPX.erlotinib.P1104,PHLC77,CNV
f72.PHLC77.TPX.erlotinib.P1104,PHLC77,mutation
f72.PHLC77.TPX.erlotinib.P1105,PHLC77,RNASeq
f72.PHLC77.TPX.erlotinib.P1105,PHLC77,CNV
f72.PHLC77.TPX.erlotinib.P1105,PHLC77,mutation
f72.PHLC77.TPX.erlotinib.P1106,PHLC77,RNASeq
f72.PHLC77.TPX.erlotinib.P1106,PHLC77,CNV
f72.PHLC77.TPX.erlotinib.P1106,PHLC77,mutation
f71.PHLC77.TPX.control.P1213,PHLC77,RNASeq
f71.PHLC77.TPX.control.P1213,PHLC77,CNV
f71.PHLC77.TPX.control.P1213,PHLC77,mutation
f71.PHLC77.TPX.control.P1214,PHLC77,RNASeq
f71.PHLC77.TPX.control.P1214,PHLC77,CNV
f71.PHLC77.TPX.control.P1214,PHLC77,mutation
f72.PHLC77.TPX.erlotinib.P1101,PHLC77,RNASeq
f72.PHLC77.TPX.erlotinib.P1101,PHLC77,CNV
f72.PHLC77.TPX.erlotinib.P1101,PHLC77,mutation
f72.PHLC77.TPX.erlotinib.P1111,PHLC77,RNASeq
f72.PHLC77.TPX.erlotinib.P1111,PHLC77,CNV
